OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,IMPORT_STATUS,INDUSTRY_CLASS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,SUBMODEL,TLA,TRANSMISSION_TYPE,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
3482,GREEN,SALOON,5100,1990,10,0,NEW,PRIVATE,HOLDEN,EXEC V8 S/W,PETROL,0,5,UNKNOWN,NEW ZEALAND,0,NONE,,NEW PLYMOUTH DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
3483,WHITE,UTILITY,2555,1991,9,2230,NEW,PRIVATE,MITSUBISHI,L200,PETROL,0,2,UNKNOWN,JAPAN,0,NONE,CLUB CAB,DUNEDIN CITY,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1991
3484,WHITE,SALOON,1799,1994,6,0,NEW,PRIVATE,MERCEDES-BENZ,C 180 CLASSIC AUTO,PETROL,2,4,UNKNOWN,GERMANY,90,NONE,,MACKENZIE DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1994
3485,BROWN,HATCHBACK,1240,2006,12,1205,USED,BUSINESS/FINANCIAL,NISSAN,MARCH,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,MARLBOROUGH DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3486,GREY,DOMESTIC TRAILER,0,2006,10,750,NEW,UNKNOWN,BRIFORD,6 X 4,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,NELSON CITY,,TRAILER/CARAVAN,OTHER GOODS,2005
3487,BLUE,STATION WAGON,1998,2005,12,1615,USED,PRIVATE,TOYOTA,CALDINA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3488,GREEN,HATCHBACK,1960,2006,1,1495,USED,PRIVATE,FORD,FOCUS,PETROL,2,5,IMPORTED BUILT-UP,UNITED KINGDOM,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
3489,SILVER,HATCHBACK,1498,2007,5,0,NEW,PRIVATE,MAZDA,MAZDA2,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,82,NONE,HATCH 5 DR 1.5 AUTO,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
3490,BLUE,HATCHBACK,1590,2005,12,1455,USED,PRIVATE,FORD,FOCUS,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,INVERCARGILL CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3491,BLUE,STATION WAGON,2261,2006,9,1830,NEW,PRIVATE,MAZDA,MAZDA6,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,190,NONE,WAGON GSX 2.3 M6,AUCKLAND,6-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3492,WHITE,MINIBUS,1998,2007,6,2868,NEW,PRIVATE,MAZDA,E2000,PETROL,2,11,IMPORTED BUILT-UP,JAPAN,71,NONE,VAN LWB 2.0 EGI M5 A,HAMILTON CITY,5-GEAR MANUAL,BUS,PRIVATE PASSENGER,2007
3493,BLUE,SALOON,2354,2006,4,1960,NEW,PRIVATE,HONDA,ACCORD,PETROL,2,5,NZ ASSEMBLED/BUILT,JAPAN,140,NONE,EURO 2.4 4D SED 5A,HAMILTON CITY,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3494,WHITE,UTILITY,1997,1991,9,2445,NEW,PRIVATE,MITSUBISHI,L200,PETROL,0,2,UNKNOWN,JAPAN,0,NONE,2WD C/CAB,FAR NORTH DISTRICT,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1991
3495,GOLD,HATCHBACK,1600,1990,10,0,NEW,UNKNOWN,FORD,LASER,PETROL,0,5,UNKNOWN,NEW ZEALAND,0,NONE,GL,THAMES-COROMANDEL DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
3496,WHITE,HATCHBACK,1990,2007,7,1505,USED,PRIVATE,TOYOTA,CELICA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,SS-1,GORE DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3497,SILVER,STATION WAGON,1490,2005,12,1385,USED,PRIVATE,MAZDA,FAMILIA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
3498,WHITE,STATION WAGON,1990,2007,6,1785,USED,PRIVATE,TOYOTA,IPSUM,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3499,SILVER,CONVERTIBLE,1798,2009,3,1955,NEW,PRIVATE,AUDI,A3,PETROL,0,4,IMPORTED BUILT-UP,GERMANY,118,NONE,CABRIOLET 1.8T FSI,HAMILTON CITY,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
3500,BLUE,CONVERTIBLE,1980,2006,2,1460,USED,PRIVATE,VOLKSWAGEN,GOLF,PETROL,2,4,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,WELLINGTON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3501,SILVER,SALOON,1998,2006,6,1788,NEW,PRIVATE,MAZDA,MAZDA6,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,108,NONE,SEDAN GLX 2.0 5 AUTO,NELSON CITY,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3502,RED,HATCHBACK,1790,2006,10,1535,USED,PRIVATE,BMW,318,PETROL,0,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,TI,TASMAN DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
3503,RED,SALOON,2354,2006,3,1960,NEW,PRIVATE,HONDA,ACCORD,PETROL,2,5,NZ ASSEMBLED/BUILT,JAPAN,140,NONE,EURO 2.4 4D SED 5A,WHANGANUI DISTRICT,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3504,GREEN,SELF PROPELLED CARAVAN,4163,2005,12,5700,USED,PRIVATE,TOYOTA,COASTER,DIESEL,2,4,IMPORTED BUILT-UP,JAPAN,0,JAPAN,HDB51,WAIMAKARIRI DISTRICT,,MOTOR CARAVAN,PRIVATE PASSENGER,1995
3505,WHITE,HATCHBACK,1490,2012,3,1305,USED,PRIVATE,SUZUKI,SWIFT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,DUNEDIN CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3506,RED,SALOON,2261,2005,5,1798,NEW,PRIVATE,MAZDA,MAZDA6,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,122,NONE,SEDAN GSX 2.3 AUTO H,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3507,WHITE,UTILITY,3310,1980,5,3499,NEW,PRIVATE,HOLDEN,KINGSWOOD,PETROL,0,2,UNKNOWN,NOT KNOWN,0,NONE,,HASTINGS DISTRICT,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1980
3508,WHITE,SALOON,1468,1990,5,0,NEW,PRIVATE,MITSUBISHI,MIRAGE,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,GLX,PALMERSTON NORTH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
3509,WHITE,FLAT-DECK TRUCK,2446,1991,10,2470,NEW,PRIVATE,TOYOTA,HILUX,DIESEL,2,2,UNKNOWN,JAPAN,0,NONE,2.4 CAB/C,AUCKLAND,,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,1991
3510,WHITE,SERVICE COACH,3907,1991,9,5500,NEW,COMMERCIAL ROAD TRANSPORT,MITSUBISHI,ROSA,DIESEL,2,16,UNKNOWN,JAPAN,0,NONE,,TASMAN DISTRICT,,BUS,TAXI COMMERCIAL PASSENGER,1991
