origintime,longitude,latitude,depth,magnitude
2019-06-1916:12:55.226,177.1461334,-37.57071686,5,3.056147971
2019-06-0212:48:55.970,176.1039581,-38.50139618,154.603714,3.056237673
2020-04-2115:27:47.150,178.4517822,-36.50473785,12,3.056510416
2019-07-3020:16:12.323,165.6919708,-46.70426941,5,3.057914187
2020-02-1420:53:58.290,179.8339386,-34.88764191,258.181488,3.058289983
2020-01-0411:11:37.241,-179.7242889,-37.55817795,12,3.058291797
2019-08-1211:06:10.398,167.7904053,-44.49228668,0,3.059203776
2019-08-1207:59:51.670,177.861084,-36.05059433,205.444519,3.059372346
2020-03-1203:06:44.594,179.325943,-37.5100174,33,3.059997036
2019-08-1104:16:55.457,175.9694061,-37.65380859,274.6896057,3.06009718
2020-02-0705:29:45.642,177.5095673,-36.63465881,169.8985901,3.060671541
2019-09-0516:51:10.756,175.9257202,-38.85580063,5,3.061809103
2019-08-1403:55:28.539,173.9866638,-39.76346207,141.5097809,3.06183664
2019-10-0922:51:59.440,166.6271973,-44.72762299,12,3.062932512
2019-10-2516:45:06.399,178.3565216,-35.58246994,175.4954376,3.062980497
2020-03-3113:40:36.894,174.238678,-40.61616516,45.40639114,3.06304982
2019-06-2111:10:42.604,177.1512146,-37.55813217,3.719217539,3.063368408
2019-10-1506:32:08.737,168.7516174,-44.56897354,5,3.063893887
2020-01-0610:11:02.106,177.2072906,-36.92263412,5,3.063947457
2019-10-1617:37:35.180,179.4283142,-37.63430023,33,3.064404248
2019-10-2801:35:59.544,165.7898865,-47.47781754,12,3.06488293
2019-08-1807:32:44.679,174.1410522,-40.64290237,45.20117188,3.065451019
2019-06-1923:22:18.411,177.1565247,-37.55462646,3.216831923,3.06553238
2019-08-1020:21:49.059,167.4622192,-45.10053635,33,3.066210408
2019-11-2816:57:58.499,167.0343475,-45.52573395,58.12640381,3.066242936
2019-11-1321:52:20.177,168.4593201,-44.15665436,5,3.066682379
2020-01-0615:08:02.826,174.9458771,-42.97106171,33,3.066756022
2019-07-1219:13:01.188,176.280777,-39.92178726,23.92157555,3.067531171
2020-02-2520:44:28.520,169.5683899,-44.00385666,5,3.067838034
2020-04-0401:08:16.738,174.9885254,-40.94910049,23.94960785,3.068487411
2020-01-1323:26:30.947,179.386734,-36.88075256,12,3.068673236
2019-07-0909:18:16.877,168.1376801,-44.33701706,0.937780023,3.069186195
2019-06-0816:07:26.769,168.1646576,-44.33176422,5,3.069324414
2019-12-1720:43:52.898,172.7041779,-41.22048569,121.1278992,3.069623336
2020-03-2614:17:48.315,176.68573,-40.29896164,18.29737282,3.070100145
2020-05-2421:14:05.241,174.9524841,-40.45589447,28.46727753,3.070363255
2019-06-0413:14:06.876,177.1757355,-37.16999817,156.7784424,3.070509271
2019-07-1308:47:35.684,177.1923676,-37.91635513,38.97545242,3.071414171
2020-01-2819:37:52.915,172.7871552,-42.66770554,6.7421875,3.07190824
2020-05-0707:21:01.639,178.5183105,-35.77396774,190.6446686,3.072011067
2019-11-2400:00:10.360,175.8470764,-40.62477875,21.77433395,3.072495966
2019-09-1900:21:08.216,169.549408,-44.02586746,5,3.074197446
2019-06-2208:53:06.194,177.1216583,-37.57936478,3.031289101,3.074889197
2019-10-2007:04:00.075,172.269165,-41.84057999,5,3.074893848
2019-09-2319:28:16.451,178.3371735,-36.04382706,193.3632202,3.075505381
2019-08-0620:42:47.695,165.723465,-47.168396,5,3.075912528
2019-12-0407:11:56.624,178.74823,-37.22320557,12,3.076005469
2020-01-1520:24:32.103,177.0519104,-37.62475204,5,3.076047255
2019-11-2507:41:31.680,177.8130035,-36.00096512,206.8377533,3.076105972
2020-05-0505:29:10.579,167.411438,-45.10311508,27.03731918,3.07626834
2019-06-0406:06:16.895,176.1815796,-38.44979858,4.01792717,3.076410085
2019-09-2913:23:04.499,165.864502,-46.67093277,12,3.076620869
2019-10-0222:06:07.376,176.201889,-37.87171173,175.2503052,3.076674824
2019-12-1020:21:34.528,177.2411804,-36.92569351,5,3.076829153
2019-10-1902:17:40.224,173.7123718,-42.02520752,10.56966972,3.077261867
2020-04-2412:18:27.267,167.4885559,-45.07415771,51.05596542,3.078461613
2019-12-0811:14:55.460,174.312973,-41.61088562,10.26145172,3.078644393
2019-08-2311:39:16.607,167.4417725,-44.82697678,5,3.078830484
2019-11-2112:36:38.760,175.6550598,-40.9161377,22.05246544,3.07890361
2020-04-1905:00:19.039,173.1597137,-42.25245667,5,3.078982751
2019-06-0406:24:45.927,176.1833344,-38.44326401,4.900796413,3.078985282
2019-08-1509:50:18.403,174.8467407,-39.11667633,198.3124542,3.079199609
2020-01-1308:52:45.287,177.1916504,-38.9746666,25.25217247,3.079947754
2019-06-0911:57:59.654,175.5800171,-39.97593307,10.95515537,3.079996149
2020-01-2514:29:14.791,174.6663971,-40.44329071,56.68589401,3.080923673
2019-11-1918:57:05.416,176.5557861,-40.29372406,15.00105953,3.080991998
2020-01-3115:00:44.933,178.0888062,-35.72826767,212.3139038,3.081727516
2020-05-2516:50:42.356,174.9714508,-40.4271698,28.73039627,3.081794634
2020-05-2814:24:59.099,177.8278656,-37.0763092,29.21393776,3.081896803
2019-07-1003:50:20.775,178.2353973,-35.2256012,242.8579407,3.082800722
2019-06-2201:54:58.679,177.1837769,-37.52409363,5,3.084143546
2019-06-1916:05:23.046,177.1278229,-37.54983139,5,3.084632679
2020-05-2415:59:33.891,176.9051971,-36.94971848,245.1553192,3.084694788
2019-07-1321:26:22.919,175.9157257,-38.82888794,5,3.085429258
2019-07-1322:27:25.093,175.9212341,-38.84229279,5,3.086088171
2019-08-1211:34:36.529,167.8099976,-44.55964661,5,3.087086038
2019-12-1208:42:37.958,176.6106415,-39.76990509,16.28626251,3.08791745
2020-04-2313:58:02.201,178.9992676,-35.72000885,229.3125305,3.088614293
