HHID,HHSTRUCTURE,DWELLTYPE,OWNDWELL,HHINC_grp,HHSIZE,YEARSLIVED,TOTALBIKESUSED,TOTALVEHS,ADULTS,AGE5_18,TERTIARYEDU,SECONDARYEDU,PRIMARYEDU,FULLTIME,PARTTIME,CASUAL,TOTWORK,TOTTRIPS
AAAA111408,Couple no Kids,Separate House,Owned,650 - 1099,2,27,0,2,2,0,0,0,0,0,0,0,0,7
AAAA204706,Sole Person,Flat or Apartment,Rented,650 - 1099,1,4,0,1,1,0,0,0,0,1,0,0,0,5
AAAA125428,Sole Person,Separate House,Being Purchased,650 - 1099,1,28,0,2,1,0,0,0,0,0,0,1,1,4
AAAA122942,Couple with Kids,Separate House,Owned,<650,5,1,1,1,2,3,0,0,2,1,0,1,0,3
AAAA131541,Couple no Kids,Separate House,Owned,<650,2,6,0,2,2,0,0,0,0,0,2,0,2,4
AAAA040620,Other HH Structures,Separate House,Owned,1100 - 1649,2,46,0,2,2,0,0,0,0,1,0,0,0,6
AAAA014910,Couple no Kids,Separate House,Owned,650 - 1099,2,25,2,1,2,0,0,0,0,0,0,0,0,2
AAAA084024,Couple no Kids,Separate House,Owned,<650,2,22,0,1,2,0,0,0,0,0,0,0,0,4
AAAA055515,Couple no Kids,Separate House,Owned,650 - 1099,2,40,0,2,2,0,0,0,0,0,0,0,0,4
AAAA081507,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,8,2,2,2,2,0,0,2,1,1,0,0,16
AAAA012738,Couple no Kids,Separate House,Owned,1100 - 1649,2,13,0,2,2,0,0,0,0,2,0,0,2,4
AAAA101928,One-Parent,Separate House,Being Purchased,1650 - 2499,5,21,3,2,2,3,0,0,3,2,0,0,0,25
AAAA033840,One-Parent,Separate House,Rented,650 - 1099,3,12,0,1,3,0,1,0,0,0,0,0,1,10
AAAA061604,Couple no Kids,Separate House,Rented,1100 - 1649,2,2,0,2,2,0,0,0,0,2,0,0,2,4
AAAA033339,Couple no Kids,Separate House,Owned,1100 - 1649,2,10,0,2,2,0,0,0,0,0,2,0,1,4
AAAA032905,Couple no Kids,Terrace/Townhouse,Owned,2500+,2,2,2,2,2,0,0,0,0,2,0,0,2,8
AAAA144725,Couple with Kids,Separate House,Owned,2500+,4,25,0,4,4,0,0,0,0,2,0,0,1,15
AAAA073741,Couple no Kids,Separate House,Rented,650 - 1099,2,5,0,1,2,0,0,0,0,0,0,0,0,6
AAAA135105,Couple no Kids,Terrace/Townhouse,Owned,2500+,2,1,0,2,2,0,0,0,0,0,1,1,1,6
AAAA091236,Couple with Kids,Separate House,Owned,1650 - 2499,4,7,0,2,2,2,0,0,2,1,1,0,6,11
AAAA094440,Couple no Kids,Other,Owned,650 - 1099,2,1,0,1,2,0,0,0,0,0,0,0,0,4
AAAA082732,Other HH Structures,Separate House,Being Purchased,650 - 1099,6,10,1,3,5,1,2,1,0,1,0,0,1,8
AAAA194432,Sole Person,Separate House,Owned,<650,1,34,1,0,1,0,0,0,0,1,0,0,1,3
AAAA101536,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,7,0,2,2,0,0,0,0,1,0,0,1,1
AAAA195418,Couple with Kids,Separate House,Being Purchased,1650 - 2499,4,3,1,2,2,1,0,0,1,1,1,0,1,13
AAAA184822,Couple no Kids,Separate House,Owned,2500+,2,18,0,2,2,0,0,0,0,0,0,0,0,5
AAAA082205,Couple with Kids,Separate House,Owned,650 - 1099,4,4,1,2,1,1,0,0,1,1,0,0,1,4
AAAA014205,Other HH Structures,Flat or Apartment,Rented,1650 - 2499,2,0,2,1,2,0,0,0,0,2,0,0,1,6
AAAA033024,Couple no Kids,Other,Rented,1650 - 2499,2,0,1,1,2,0,0,0,0,1,1,0,2,8
AAAA034732,Couple no Kids,Separate House,Owned,650 - 1099,2,40,0,2,2,0,0,0,0,0,0,0,0,3
AAAA111814,Couple with Kids,Separate House,Owned,1650 - 2499,3,14,0,2,2,1,0,0,1,1,1,0,0,5
AAAA070707,Couple no Kids,Separate House,Owned,650 - 1099,2,53,0,1,2,0,0,0,0,0,0,0,0,4
AAAA074831,Couple with Kids,Separate House,Being Purchased,1650 - 2499,4,2,0,2,3,1,1,1,0,2,0,0,2,4
AAAA143935,Couple no Kids,Separate House,Owned,1650 - 2499,2,35,0,1,2,0,1,0,0,0,0,1,0,2
AAAA163301,Couple no Kids,Separate House,Rented,650 - 1099,2,2,0,2,2,0,0,0,0,1,0,0,0,0
AAAA194122,Couple no Kids,Separate House,Owned,2500+,2,8,0,3,2,0,1,0,0,2,0,0,1,6
AAAA120131,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,3,0,3,2,1,0,1,0,1,1,0,4,10
AAAA073820,Couple no Kids,Separate House,Being Purchased,2500+,2,2,2,2,2,0,0,0,0,2,0,0,0,15
AAAA144729,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,4,0,2,3,0,0,0,0,1,1,1,2,4
AAAA011434,Couple with Kids,Terrace/Townhouse,Being Purchased,2500+,4,4,0,1,2,0,0,0,0,2,0,0,0,12
AAAA031541,Couple with Kids,Separate House,Being Purchased,1100 - 1649,3,5,0,1,2,0,1,0,0,1,0,0,0,7
AAAA133823,Other HH Structures,Separate House,Owned,650 - 1099,3,27,0,2,3,0,1,0,0,0,0,0,0,6
AAAA065028,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,13,3,2,2,2,0,0,2,1,0,0,0,4
AAAA063836,Other HH Structures,Separate House,Being Purchased,1650 - 2499,4,6,1,3,3,0,0,0,0,1,1,0,2,4
AAAA054232,Couple with Kids,Separate House,Owned,650 - 1099,3,54,0,1,3,0,0,0,0,1,0,0,0,3
AAAA103004,Other HH Structures,Flat or Apartment,Rented,1650 - 2499,2,0,0,2,2,0,0,0,0,2,0,0,2,5
AAAA164609,Sole Person,Separate House,Owned,<650,1,5,0,1,1,0,0,0,0,0,1,0,0,5
AAAA065440,Sole Person,Terrace/Townhouse,Being Purchased,1650 - 2499,1,2,1,1,1,0,0,0,0,1,0,0,3,5
AAAA022027,Sole Person,Separate House,Owned,1100 - 1649,1,3,1,1,1,0,0,0,0,1,0,0,0,0
AAAA080609,Couple no Kids,Separate House,Owned,1100 - 1649,2,2,0,1,2,0,0,0,0,0,0,1,0,11
AAAA044901,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,17,0,2,2,2,0,2,0,1,1,0,2,16
AAAA044915,Couple no Kids,Separate House,Owned,1650 - 2499,2,24,2,2,2,0,0,0,0,0,2,0,2,5
AAAA031321,Sole Person,Separate House,Being Purchased,650 - 1099,1,5,0,1,1,0,0,0,0,1,0,0,0,2
AAAA043801,Couple with Kids,Separate House,Owned,2500+,4,22,0,3,3,1,0,1,0,2,1,0,4,18
AAAA031532,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,15,2,2,2,0,0,0,0,1,1,0,3,11
AAAA034913,Other HH Structures,Flat or Apartment,Rented,1100 - 1649,3,2,0,0,3,0,3,0,0,0,0,0,1,6
AAAA153335,Sole Person,Separate House,Owned,650 - 1099,1,37,0,1,1,0,0,0,0,0,1,0,1,2
AAAA131418,Other HH Structures,Separate House,Rented,650 - 1099,8,4,0,2,4,4,0,1,3,0,0,0,0,26
