HHID,HHSTRUCTURE,DWELLTYPE,OWNDWELL,HHINC_grp,HHSIZE,YEARSLIVED,TOTALBIKESUSED,TOTALVEHS,ADULTS,AGE5_18,TERTIARYEDU,SECONDARYEDU,PRIMARYEDU,FULLTIME,PARTTIME,CASUAL,TOTWORK,TOTTRIPS
AAAA015135,Sole Person,Separate House,Rented,650 - 1099,1,4,0,1,1,0,0,0,0,1,0,0,0,0
AAAA083129,Couple no Kids,Separate House,Owned,650 - 1099,2,40,3,2,2,0,0,0,0,0,1,0,0,0
AAAA104711,One-Parent,Separate House,Rented,650 - 1099,3,0,0,3,2,1,0,1,0,2,0,0,2,7
AAAA094538,Couple no Kids,Flat or Apartment,Rented,2500+,2,1,1,1,1,0,0,0,0,1,0,0,0,0
AAAA185515,Couple with Kids,Separate House,Rented,1650 - 2499,5,0,2,2,2,1,0,0,1,1,0,0,0,10
AAAA141508,Couple with Kids,Separate House,Being Purchased,650 - 1099,5,21,4,2,2,3,0,2,1,1,0,0,1,12
AAAA024041,Couple with Kids,Separate House,Owned,1650 - 2499,3,23,2,4,3,0,1,0,0,2,1,0,1,4
AAAA122334,Couple with Kids,Separate House,Owned,2500+,3,5,1,2,2,0,1,0,0,1,0,0,0,8
AAAA081233,Couple with Kids,Separate House,Rented,1650 - 2499,6,4,0,3,2,4,0,1,2,2,1,0,1,16
AAAA063117,Couple no Kids,Separate House,Rented,<650,2,13,0,1,2,0,0,0,0,0,0,0,0,2
AAAA132638,Couple no Kids,Separate House,Owned,650 - 1099,2,9,0,2,2,0,0,0,0,0,0,0,0,7
AAAA155108,Couple with Kids,Separate House,Owned,2500+,5,15,1,1,2,3,0,2,1,1,1,0,3,23
AAAA041519,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,2,4,3,2,0,0,0,0,2,0,0,5,7
AAAA092023,Sole Person,Separate House,Owned,<650,1,25,0,0,1,0,0,0,0,0,0,0,0,4
AAAA104117,Sole Person,Other,Rented,1100 - 1649,1,23,0,2,1,0,0,0,0,1,0,0,1,2
AAAA074222,Sole Person,Flat or Apartment,Rented,1100 - 1649,1,4,0,1,1,0,0,0,0,1,0,0,0,0
AAAA145439,Sole Person,Separate House,Owned,2500+,1,8,0,1,1,0,0,0,0,0,0,0,0,0
AAAA121142,Couple with Kids,Terrace/Townhouse,Owned,2500+,5,25,0,2,4,1,0,1,0,3,0,0,0,12
AAAA090832,Couple no Kids,Separate House,Owned,1650 - 2499,2,31,0,1,2,0,0,0,0,0,0,0,1,2
AAAA021523,Sole Person,Separate House,Rented,650 - 1099,1,0,0,1,1,0,0,0,0,0,0,1,1,2
AAAA134523,Couple with Kids,Separate House,Owned,1100 - 1649,3,5,2,2,2,1,0,0,1,1,1,0,1,8
AAAA060233,One-Parent,Separate House,Owned,1650 - 2499,3,21,0,1,3,0,0,0,0,2,0,0,2,6
AAAA052011,Couple with Kids,Separate House,Rented,1650 - 2499,3,0,2,1,2,1,0,1,0,2,0,0,1,5
AAAA122832,One-Parent,Separate House,Occupied Rent-Free,1100 - 1649,3,9,1,1,3,0,2,0,0,1,0,0,6,20
AAAA103314,Sole Person,Separate House,Occupied Rent-Free,1100 - 1649,1,13,0,0,1,0,0,0,0,0,0,0,0,5
AAAA025310,Couple with Kids,Separate House,Being Purchased,1100 - 1649,5,2,0,1,2,3,0,0,3,1,1,0,5,27
AAAA043512,Couple with Kids,Separate House,Being Purchased,2500+,4,4,0,2,4,0,1,0,0,0,1,0,0,24
AAAA025322,One-Parent,Flat or Apartment,Rented,<650,2,11,0,0,0,1,0,1,0,0,0,0,0,2
AAAA042528,One-Parent,Separate House,Being Purchased,1650 - 2499,3,3,0,2,3,0,1,0,0,1,0,0,0,0
AAAA092624,Sole Person,Flat or Apartment,Rented,<650,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AAAA064608,Couple no Kids,Separate House,Owned,1100 - 1649,2,42,0,1,2,0,0,0,0,0,1,0,0,14
AAAA021911,Couple with Kids,Separate House,Being Purchased,1100 - 1649,3,5,0,2,2,0,0,0,0,1,0,0,0,3
AAAA043535,Sole Person,Separate House,Being Purchased,650 - 1099,1,4,2,1,1,0,0,0,0,1,0,0,0,1
AAAA104424,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,1,3,2,2,1,0,0,1,1,1,0,0,15
AAAA022725,Sole Person,Separate House,Being Purchased,1100 - 1649,1,0,0,1,1,0,0,0,0,1,0,0,1,2
AAAA205229,Couple no Kids,Separate House,Owned,1100 - 1649,2,11,0,1,2,0,0,0,0,0,0,0,0,0
AAAA081533,Couple no Kids,Separate House,Owned,1100 - 1649,2,9,0,2,2,0,0,0,0,1,0,0,1,6
AAAA031812,Couple no Kids,Separate House,Owned,<650,2,16,0,1,2,0,0,0,0,0,1,0,0,0
AAAA123219,Sole Person,Separate House,Owned,<650,1,40,0,1,1,0,0,0,0,0,0,0,0,5
AAAA082417,Couple no Kids,Separate House,Owned,2500+,2,1,0,2,2,0,0,0,0,2,0,0,0,4
AAAA055412,Couple no Kids,Separate House,Owned,2500+,2,2,0,2,2,0,0,0,0,2,0,0,5,10
AAAA103626,Couple with Kids,Terrace/Townhouse,Owned,1100 - 1649,3,2,0,2,2,1,0,0,0,1,1,0,1,12
AAAA010624,Sole Person,Flat or Apartment,Rented,<650,1,5,0,0,1,0,0,0,0,0,0,0,0,2
AAAA124702,Sole Person,Separate House,Owned,1100 - 1649,1,16,0,1,1,0,0,0,0,0,1,0,0,5
AAAA143101,Other HH Structures,Flat or Apartment,Rented,650 - 1099,2,4,0,1,2,0,1,0,0,1,0,1,0,3
AAAA195410,Couple with Kids,Separate House,Being Purchased,650 - 1099,4,12,0,2,2,2,0,1,1,0,1,0,0,11
AAAA043422,Couple no Kids,Separate House,Owned,650 - 1099,2,43,0,2,2,0,0,0,0,0,0,0,0,5
AAAA052003,Sole Person,Terrace/Townhouse,Rented,650 - 1099,1,1,0,1,1,0,0,0,0,0,1,0,1,2
AAAA082518,Couple with Kids,Separate House,Being Purchased,650 - 1099,3,2,0,2,2,0,0,0,0,1,0,0,0,2
AAAA055227,Couple no Kids,Separate House,Owned,650 - 1099,2,1,0,3,2,0,0,0,0,1,0,0,0,0
AAAA134519,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,2,0,3,2,0,0,0,0,2,0,0,1,13
AAAA164615,Sole Person,Separate House,Owned,<650,1,6,0,1,1,0,0,0,0,0,0,0,0,1
AAAA081921,Couple no Kids,Separate House,Being Purchased,<650,2,27,0,2,2,0,0,0,0,1,0,0,0,0
AAAA010019,Couple no Kids,Separate House,Owned,1100 - 1649,2,2,0,2,2,0,0,0,0,1,0,1,1,4
AAAA150536,Couple no Kids,Separate House,Being Purchased,650 - 1099,2,12,0,2,2,0,0,0,0,2,0,0,2,4
AAAA063917,Sole Person,Flat or Apartment,Occupied Rent-Free,<650,1,19,0,1,1,0,0,0,0,0,0,0,0,3
AAAA184537,Other HH Structures,Separate House,Being Purchased,1100 - 1649,3,40,1,1,3,0,0,0,0,1,0,0,0,4
AAAA184233,Couple no Kids,Separate House,Owned,1650 - 2499,2,33,0,2,2,0,0,0,0,0,0,0,0,0
AAAA010920,Couple with Kids,Terrace/Townhouse,Owned,2500+,3,7,3,1,2,1,0,1,0,2,0,0,1,16
AAAA145113,Couple with Kids,Separate House,Owned,2500+,5,12,4,2,2,3,0,3,0,1,1,0,0,29
AAAA032203,Couple with Kids,Separate House,Being Purchased,2500+,4,23,0,2,2,2,0,2,0,1,1,0,1,6
AAAA054134,Couple no Kids,Flat or Apartment,Owned,2500+,2,8,0,2,2,0,0,0,0,2,0,0,0,0
AAAA132714,Couple no Kids,Separate House,Owned,650 - 1099,2,18,0,1,2,0,0,0,0,0,0,0,0,2
AAAA185137,Couple no Kids,Terrace/Townhouse,Owned,2500+,2,3,0,1,2,0,0,0,0,2,0,0,1,3
AAAA045436,Couple no Kids,Separate House,Owned,650 - 1099,2,35,0,1,2,0,0,0,0,0,1,0,0,4
AAAA074833,Couple with Kids,Separate House,Owned,2500+,3,1,1,2,3,0,0,0,0,1,1,0,0,14
AAAA123702,Sole Person,Separate House,Rented,650 - 1099,1,0,0,1,1,0,0,0,0,1,0,0,1,2
AAAA134632,Couple no Kids,Separate House,Owned,2500+,2,1,0,2,2,0,0,0,0,2,0,0,2,4
AAAA061340,One-Parent,Separate House,Rented,<650,2,0,2,1,1,1,0,1,0,0,1,0,0,7
AAAA081911,Couple with Kids,Separate House,Rented,1650 - 2499,4,2,1,2,2,2,0,2,0,1,1,0,3,10
AAAA133413,Couple with Kids,Separate House,Being Purchased,1650 - 2499,4,8,2,3,2,1,0,1,0,1,0,1,1,11
AAAA043123,Couple no Kids,Separate House,Owned,1650 - 2499,2,42,0,2,2,0,0,0,0,0,1,0,0,2
AAAA143030,Sole Person,Flat or Apartment,Owned,650 - 1099,1,14,0,1,1,0,0,0,0,1,0,0,1,2
AAAA022937,Couple with Kids,Separate House,Owned,2500+,3,2,0,3,3,0,1,0,0,1,0,0,1,10
AAAA073534,Couple no Kids,Flat or Apartment,Rented,1650 - 2499,2,0,0,1,2,0,0,0,0,2,0,0,2,4
AAAA164335,Couple with Kids,Separate House,Owned,1100 - 1649,3,24,0,3,3,0,1,0,0,1,1,0,0,8
AAAA063525,Sole Person,Flat or Apartment,Rented,1100 - 1649,1,5,0,1,1,0,0,0,0,1,0,0,1,4
AAAA045008,Other HH Structures,Separate House,Rented,650 - 1099,2,2,0,2,2,0,0,0,0,2,0,0,2,4
AAAA035015,Sole Person,Separate House,Owned,650 - 1099,1,30,1,2,1,0,0,0,0,0,0,0,0,0
AAAA150130,One-Parent,Flat or Apartment,Rented,<650,3,0,0,0,1,0,0,0,0,0,0,0,0,4
AAAA115411,Couple with Kids,Separate House,Being Purchased,650 - 1099,4,5,1,2,2,1,0,0,1,1,0,0,0,10
AAAA033835,Sole Person,Flat or Apartment,Owned,1650 - 2499,1,25,0,1,1,0,0,0,0,0,0,0,0,0
AAAA081423,Couple with Kids,Separate House,Owned,2500+,4,17,1,5,3,1,0,0,0,3,1,0,4,8
AAAA122437,Couple with Kids,Separate House,Being Purchased,2500+,4,3,4,2,2,2,0,0,2,2,0,0,2,30
AAAA124829,Couple no Kids,Separate House,Owned,650 - 1099,2,31,1,1,2,0,0,0,0,0,0,0,0,5
AAAA121522,Other HH Structures,Separate House,Rented,650 - 1099,3,0,0,2,2,1,2,1,0,0,0,0,0,7
AAAA131916,Couple no Kids,Separate House,Owned,2500+,2,6,0,1,2,0,0,0,0,2,0,0,0,0
AAAA074433,Couple with Kids,Separate House,Owned,<650,3,10,0,1,3,0,1,0,0,1,0,0,0,8
AAAA140003,Couple no Kids,Separate House,Owned,1100 - 1649,2,40,0,2,2,0,0,0,0,0,1,0,0,3
AAAA010003,Couple with Kids,Separate House,Owned,1650 - 2499,4,9,0,4,4,0,2,0,0,3,0,0,0,0
AAAA031813,Other HH Structures,Separate House,Rented,2500+,3,1,0,3,2,0,0,0,0,2,0,0,0,8
AAAA112638,Couple with Kids,Separate House,Being Purchased,2500+,3,12,0,3,2,0,0,0,0,2,0,0,0,0
AAAA015236,Couple no Kids,Terrace/Townhouse,Owned,2500+,2,4,0,3,2,0,0,0,0,1,1,0,2,3
AAAA095229,One-Parent,Separate House,Being Purchased,1650 - 2499,2,9,0,2,2,0,0,0,0,2,0,0,2,4
AAAA101926,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,5,0,2,2,0,0,0,0,2,0,0,2,4
AAAA081505,Couple with Kids,Separate House,Being Purchased,2500+,5,3,0,5,4,1,3,0,0,1,1,0,4,27
AAAA095327,Sole Person,Flat or Apartment,Rented,<650,1,20,0,0,1,0,0,0,0,0,0,0,0,0
AAAA010821,Couple with Kids,Separate House,Being Purchased,2500+,5,16,2,4,4,1,0,0,1,2,1,0,0,0
AAAA064806,Couple no Kids,Separate House,Owned,2500+,2,12,0,2,2,0,0,0,0,0,0,0,0,10
AAAA141202,Sole Person,Separate House,Owned,<650,1,52,0,1,1,0,0,0,0,0,0,0,0,2
AAAA045102,Other HH Structures,Separate House,Owned,650 - 1099,2,24,0,1,2,0,0,0,0,0,0,0,0,0
AAAA040502,Couple no Kids,Separate House,Owned,2500+,2,16,0,1,2,0,0,0,0,2,0,0,0,0
AAAA064423,Couple with Kids,Separate House,Being Purchased,2500+,6,3,0,4,4,2,3,2,0,2,0,0,8,25
AAAA055036,Couple with Kids,Terrace/Townhouse,Owned,2500+,3,7,0,1,2,0,0,0,0,1,0,0,1,4
AAAA142605,Couple with Kids,Separate House,Owned,1650 - 2499,5,10,4,3,3,2,0,1,1,2,1,0,0,6
AAAA031017,Couple no Kids,Separate House,Owned,2500+,2,7,2,1,2,0,0,0,0,2,0,0,5,12
AAAA062214,Couple no Kids,Separate House,Being Purchased,650 - 1099,2,18,0,2,2,0,0,0,0,0,0,2,0,6
AAAA140125,Sole Person,Separate House,Owned,650 - 1099,1,6,0,1,1,0,0,0,0,0,1,0,1,2
AAAA141237,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,9,1,3,2,2,1,1,1,1,0,0,2,19
AAAA045534,One-Parent,Terrace/Townhouse,Owned,650 - 1099,4,2,0,1,1,3,0,2,1,1,0,0,1,5
AAAA113311,Sole Person,Separate House,Owned,<650,1,19,0,1,1,0,0,0,0,0,1,0,0,0
AAAA080024,Sole Person,Separate House,Being Purchased,<650,1,6,0,0,1,0,0,0,0,0,0,0,0,2
AAAA054404,Couple no Kids,Other,Owned,1100 - 1649,2,6,0,2,2,0,0,0,0,0,1,0,0,8
AAAA053024,Couple no Kids,Other,Rented,1100 - 1649,2,6,0,2,2,0,0,0,0,2,0,0,4,5
AAAA145004,Couple no Kids,Separate House,Being Purchased,<650,2,0,0,1,2,0,0,0,0,0,0,1,0,0
AAAA061710,Couple no Kids,Separate House,Being Purchased,2500+,2,8,0,2,2,0,0,0,0,2,0,0,2,4
AAAA195340,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,15,1,3,2,2,0,1,1,1,1,0,4,19
AAAA164729,Other HH Structures,Separate House,Owned,650 - 1099,2,6,0,1,2,0,0,0,0,0,0,1,0,5
AAAA175203,Couple with Kids,Separate House,Being Purchased,650 - 1099,4,2,2,2,2,0,0,0,0,1,0,0,0,2
AAAA040622,Sole Person,Flat or Apartment,Rented,650 - 1099,1,1,0,1,1,0,0,0,0,1,0,0,1,2
AAAA144733,One-Parent,Separate House,Owned,<650,2,50,0,2,2,0,0,0,0,0,0,0,0,0
AAAA140602,Couple no Kids,Separate House,Rented,1100 - 1649,2,8,1,2,2,0,0,0,0,0,0,0,0,0
AAAA164802,Couple with Kids,Separate House,Owned,1100 - 1649,3,19,0,5,3,0,0,0,0,2,1,0,0,2
AAAA044607,Sole Person,Separate House,Owned,650 - 1099,1,15,0,1,1,0,0,0,0,1,0,0,0,3
AAAA163435,Couple no Kids,Separate House,Rented,1650 - 2499,2,2,0,2,2,0,0,0,0,2,0,0,0,2
AAAA043705,Couple no Kids,Separate House,Owned,<650,2,27,0,2,2,0,0,0,0,0,0,0,0,2
AAAA074436,Couple with Kids,Separate House,Being Purchased,2500+,4,6,2,2,2,1,0,0,1,1,1,0,0,10
AAAA153736,Sole Person,Separate House,Owned,<650,1,24,0,1,1,0,0,0,0,0,0,0,0,3
AAAA122035,Couple no Kids,Separate House,Being Purchased,2500+,2,12,2,3,2,0,0,0,0,2,0,0,0,4
AAAA010102,Couple no Kids,Separate House,Owned,1100 - 1649,2,33,1,2,2,0,0,0,0,0,2,0,1,14
AAAA080925,Other HH Structures,Separate House,Owned,650 - 1099,2,35,0,1,2,0,0,0,0,0,2,0,2,12
AAAA120537,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,10,0,2,2,0,0,0,0,2,0,0,0,0
AAAA062619,Couple no Kids,Separate House,Owned,<650,2,43,0,2,2,0,0,0,0,0,0,0,0,6
AAAA133329,Couple with Kids,Separate House,Owned,2500+,3,37,1,3,3,0,0,0,0,1,0,0,1,14
AAAA040118,Couple with Kids,Separate House,Owned,<650,5,1,4,3,2,2,0,0,2,1,0,0,1,13
AAAA175302,Couple with Kids,Separate House,Owned,2500+,3,22,0,6,3,0,0,0,0,1,1,0,2,5
